Year,Trimester,District,Neighbourhood,Price (euro/month),Price (euro/m2)
2014,2,Horta-Guinardo,Can Baro,525.04,8.95
2014,2,Horta-Guinardo,el Guinardo,564.1,9.12
2014,2,Horta-Guinardo,la Font d'en Fargues,772.41,9.31
2014,2,Horta-Guinardo,el Carmel,495.01,9.0
2014,2,Horta-Guinardo,la Teixonera,476.94,8.42
2014,2,Horta-Guinardo,Sant Genis dels Agudells,568.75,7.92
2014,2,Horta-Guinardo,Montbau,535.88,9.02
2014,2,Horta-Guinardo,la Vall d'Hebron,675.63,9.78
2014,2,Horta-Guinardo,Horta,566.67,8.67
2014,2,Nou Barris,Vilapicina i la Torre Llobeta,573.24,9.19
2014,2,Nou Barris,Porta,517.06,8.94
2014,2,Nou Barris,el Turo de la Peira,461.25,7.96
2014,2,Nou Barris,Can Peguera,295.39,6.57
2014,2,Nou Barris,la Guineueta,613.14,8.15
2014,2,Nou Barris,Canyelles,474.29,5.58
2014,2,Nou Barris,les Roquetes,448.6,8.66
2014,2,Nou Barris,Verdun,465.56,9.33
2014,2,Nou Barris,la Prosperitat,501.4,9.08
2014,2,Nou Barris,la Trinitat Nova,449.31,8.7
2014,2,Nou Barris,Torre Baro,320.21,9.06
2014,2,Nou Barris,Ciutat Meridiana,406.17,6.85
2014,2,Sant Andreu,la Trinitat Vella,407.26,6.23
2014,2,Sant Andreu,Baro de Viver,231.4,4.03
2014,2,Sant Andreu,el Bon Pastor,476.31,7.86
2014,2,Sant Andreu,Sant Andreu,573.12,9.33
2014,2,Sant Andreu,la Sagrera,622.71,9.76
2014,2,Sant Andreu,el Congres i els Indians,556.26,9.34
2014,2,Sant Andreu,Navas,590.17,8.66
2014,2,Sant Marti,el Camp de l'Arpa del Clot,592.63,9.61
2014,2,Sant Marti,el Clot,641.11,10.11
2014,2,Sant Marti,el Parc i la Llacuna del Poblenou,678.23,10.31
2014,2,Sant Marti,la Vila Olimpica del Poblenou,988.89,14.44
2014,2,Sant Marti,el Poblenou,644.01,10.36
2014,2,Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,817.93,10.7
2014,2,Sant Marti,el Besos i el Maresme,480.69,7.8
2014,2,Sant Marti,Provencals del Poblenou,643.46,10.01
2014,2,Sant Marti,Sant Marti de Provencals,641.75,9.41
2014,2,Sant Marti,la Verneda i la Pau,569.14,8.26
2014,3,Ciutat Vella,el Raval,576.45,9.84
2014,3,Ciutat Vella,Gothic Quarter,790.74,10.99
2014,3,Ciutat Vella,la Barceloneta,578.88,15.54
2014,3,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",699.1,11.59
2014,3,Eixample,Fort Pienc,719.84,9.64
2014,3,Eixample,Sagrada Familia,697.69,10.4
2014,3,Eixample,la Dreta de l'Eixample,934.55,9.96
2014,3,Eixample,l'Antiga Esquerra de l'Eixample,869.72,10.33
2014,3,Eixample,la Nova Esquerra de l'Eixample,746.78,10.31
2014,3,Eixample,Sant Antoni,713.89,9.97
2014,3,Sants-Montjuic,el Poble Sec,580.89,10.08
2014,3,Sants-Montjuic,la Marina de Port,542.81,7.86
2014,3,Sants-Montjuic,la Font de la Guatlla,630.89,10.04
2014,3,Sants-Montjuic,Hostafrancs,605.58,9.93
2014,3,Sants-Montjuic,la Bordeta,603.16,8.85
2014,3,Sants-Montjuic,Sants - Badal,629.58,9.98
2014,3,Sants-Montjuic,Sants,624.78,9.82
2014,3,Les Corts,les Corts,786.29,10.91
2014,3,Les Corts,la Maternitat i Sant Ramon,768.46,10.44
2014,3,Les Corts,Pedralbes,1506.2,12.06
2014,3,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",988.66,8.78
2014,3,Sarria-Sant Gervasi,Sarria,1081.14,14.64
2014,3,Sarria-Sant Gervasi,les Tres Torres,1386.13,13.38
2014,3,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,963.57,11.57
2014,3,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1078.84,11.54
2014,3,Sarria-Sant Gervasi,el Putxet i el Farro,766.33,10.76
2014,3,Gracia,Vallcarca i els Penitents,642.66,10.08
2014,3,Gracia,el Coll,537.15,8.85
2014,3,Gracia,la Salut,684.28,9.49
2014,3,Gracia,la Vila de Gracia,691.69,11.01
2014,3,Gracia,el Camp d'en Grassot i Gracia Nova,711.14,10.45
2014,3,Horta-Guinardo,el Baix Guinardo,613.17,9.26
2014,3,Horta-Guinardo,Can Baro,536.04,9.18
2014,3,Horta-Guinardo,el Guinardo,585.39,9.26
2014,3,Horta-Guinardo,la Font d'en Fargues,703.15,9.58
2014,3,Horta-Guinardo,el Carmel,498.79,8.47
2014,3,Horta-Guinardo,la Teixonera,469.77,7.62
2014,3,Horta-Guinardo,Sant Genis dels Agudells,542.51,7.71
2014,3,Horta-Guinardo,Montbau,578.5,9.35
2014,3,Horta-Guinardo,la Vall d'Hebron,715.0,9.11
2014,3,Horta-Guinardo,Horta,562.86,8.92
2014,3,Nou Barris,Vilapicina i la Torre Llobeta,567.26,8.61
2014,3,Nou Barris,Porta,522.7,8.56
2014,3,Nou Barris,el Turo de la Peira,459.42,7.44
2014,3,Nou Barris,Can Peguera,145.45,3.54
2014,3,Nou Barris,la Guineueta,607.74,8.3
2014,3,Nou Barris,Canyelles,532.67,6.81
2014,3,Nou Barris,les Roquetes,444.29,7.73
2014,3,Nou Barris,Verdun,484.98,8.95
2014,3,Nou Barris,la Prosperitat,479.48,8.49
2014,3,Nou Barris,la Trinitat Nova,416.65,8.33
2014,3,Nou Barris,Ciutat Meridiana,372.44,6.39
2014,3,Sant Andreu,la Trinitat Vella,419.12,6.29
2014,3,Sant Andreu,el Bon Pastor,503.93,7.68
2014,3,Sant Andreu,Sant Andreu,593.22,9.11
2014,3,Sant Andreu,la Sagrera,570.36,8.34
2014,3,Sant Andreu,el Congres i els Indians,596.63,9.42
2014,3,Sant Andreu,Navas,635.11,8.49
2014,3,Sant Marti,el Camp de l'Arpa del Clot,604.83,9.77
2014,3,Sant Marti,el Clot,607.62,9.23
2014,3,Sant Marti,el Parc i la Llacuna del Poblenou,739.94,9.9
2014,3,Sant Marti,la Vila Olimpica del Poblenou,1121.06,13.56
2014,3,Sant Marti,el Poblenou,652.23,10.4
2014,3,Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,896.42,12.49
2014,3,Sant Marti,el Besos i el Maresme,423.45,6.84
2014,3,Sant Marti,Provencals del Poblenou,630.29,9.1
2014,3,Sant Marti,Sant Marti de Provencals,614.55,8.5
2014,3,Sant Marti,la Verneda i la Pau,569.84,8.52
2014,4,Ciutat Vella,el Raval,597.0,10.81
2014,4,Ciutat Vella,Gothic Quarter,761.68,10.41
2014,4,Ciutat Vella,la Barceloneta,593.73,16.14
2014,4,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",687.33,11.09
2014,4,Eixample,Fort Pienc,735.99,9.81
